Specieslist,CV,Bias,StDev,M
Kelp greenling,0,-0.069764442,0.022575757,0.3
Kelp greenling,0.1,-0.075431434,0.021234308,0.3
Kelp greenling,0.2,-0.069378032,0.021906879,0.3
Kelp greenling,0.3,-0.071985945,0.011478753,0.3
Kelp greenling,0.4,-0.077446253,0.032341983,0.3
Kelp greenling,0.5,-0.067554292,0.029728564,0.3
Lingcod,0,-0.022699792,0.023045739,0.25
Lingcod,0.1,-0.020792388,0.029429701,0.25
Lingcod,0.2,-0.01270576,0.015757976,0.25
Lingcod,0.3,-0.032427553,0.033521594,0.25
Lingcod,0.4,-0.027837809,0.031240508,0.25
Lingcod,0.5,-0.018563953,0.020688162,0.25
Kelp bass,0,-0.02683924,0.024084887,0.2
Kelp bass,0.1,-0.030830997,0.022299947,0.18
Kelp bass,0.2,-0.035699956,0.015898968,0.18
Kelp bass,0.3,-0.033196713,0.025006176,0.18
Kelp bass,0.4,-0.034362184,0.029907108,0.18
Kelp bass,0.5,-0.033762024,0.019062937,0.18
Kelp rockfish,0,-0.011362108,0.027436685,0.2
Kelp rockfish,0.1,-0.003899878,0.022328049,0.2
Kelp rockfish,0.2,-0.017013492,0.029574521,0.2
Kelp rockfish,0.3,-0.017207467,0.021692247,0.2
Kelp rockfish,0.4,-0.033618166,0.011455523,0.2
Kelp rockfish,0.5,-0.011823966,0.027099434,0.2
Brown rockfish,0,-0.037995976,0.020912527,0.14
Brown rockfish,0.1,-0.024365729,0.014928667,0.14
Brown rockfish,0.2,-0.034245271,0.015166162,0.14
Brown rockfish,0.3,-0.030425584,0.020480319,0.14
Brown rockfish,0.4,-0.025180509,0.026043897,0.14
Brown rockfish,0.5,-0.028643481,0.022022153,0.14
Gopher rockfish,0,0.002362678,0.029045659,0.2
Gopher rockfish,0.1,-0.000467884,0.023030421,0.2
Gopher rockfish,0.2,0.001821686,0.017605022,0.2
Gopher rockfish,0.3,-0.001158074,0.02531695,0.2
Gopher rockfish,0.4,0.004084867,0.039164247,0.2
Gopher rockfish,0.5,-0.013519995,0.042053412,0.2
Copper rockfish,0,-0.011286359,0.008730802,0.09
Copper rockfish,0.1,-0.017624147,0.007024774,0.09
Copper rockfish,0.2,-0.020266712,0.012621421,0.09
Copper rockfish,0.3,-0.010232576,0.018944488,0.09
Copper rockfish,0.4,-0.013051776,0.01771791,0.09
Copper rockfish,0.5,-0.017417738,0.015589743,0.09
Yellowtail rockfish,0,-0.025969186,0.009600297,0.11
Yellowtail rockfish,0.1,-0.017866233,0.018243055,0.11
Yellowtail rockfish,0.2,-0.014228763,0.010551117,0.11
Yellowtail rockfish,0.3,-0.013210332,0.017996946,0.11
Yellowtail rockfish,0.4,-0.031169861,0.010941356,0.11
Yellowtail rockfish,0.5,-0.025978494,0.023774462,0.11
California scorpionfish,0,-0.068778506,0.026353483,0.25
California scorpionfish,0.1,-0.075659581,0.01910823,0.25
California scorpionfish,0.2,-0.071860063,0.024973916,0.25
California scorpionfish,0.3,-0.067763728,0.02289583,0.25
